# ============================================================
# 台灣加權股價報酬指數（發行量加權股價報酬指數）歷史資料
# ============================================================
#
# 【概念說明】
# 台灣有兩個主要指數：
#   1. 加權指數（Price Index，^TWII）：只反映股價漲跌，不含股利
#   2. 加權報酬指數（Total Return Index，本檔案）：股價漲跌 + 股利自動再投入
#
# 差異範例（2024年）：
#   加權指數 2023年底→2024年底：17,930 → 23,395，漲幅 +30.5%（不含息）
#   報酬指數 2023年底→2024年底：38,641 → 50,903，漲幅 +31.7%（含息）
#   差距 ≈ +1.2%，即 2024 年股利貢獻約 1.2%
#
# 【為何用報酬指數而非加權指數？】
# 投資人實際持有 ETF（如 0050）時，配息可以再投入繼續複利滾動。
# 報酬指數才是真實的「持有並再投入」的長期報酬。
# 用加權指數（不含息）計算滾動報酬，會低估實際年化報酬約 2~3%。
#
# 【資料來源】
# 台灣證券交易所（TWSE）官方 API
# URL: https://www.twse.com.tw/rwd/zh/TAIEX/MFI94U?response=json&date=YYYYMMDD
# 抓取時間：2026-05-31
# 資料範圍：2003-01-02 ~ 2026-05-29（每個交易日收盤值）
#
# 【欄位說明】
# date              : 日期（YYYY-MM-DD，西元）
# tr_index          : 發行量加權股價報酬指數收盤值
# year_end_flag     : Y = 該年最後一個交易日（用於計算年化報酬）
# annual_return_pct : 相對前一年最後交易日的報酬率（%），含股利再投入
# ============================================================
date,tr_index,year_end_flag,annual_return_pct
2004-04-02,6691.05,,
2004-04-05,6831.29,,
2004-04-06,6783.05,,
2004-04-07,6794.50,,
2004-04-08,6821.20,,
2004-04-09,6767.53,,
2004-04-12,6928.45,,
2004-04-13,6945.38,,
2004-04-14,7033.13,,
2004-04-15,6886.55,,
2004-04-16,6969.77,,
2004-04-19,6929.88,,
2004-04-20,6951.13,,
2004-04-21,6961.64,,
2004-04-22,6881.75,,
2004-04-23,6898.11,,
2004-04-26,6859.88,,
2004-04-27,6794.56,,
2004-04-28,6720.91,,
2004-04-29,6544.53,,
2004-04-30,6253.81,,
2004-05-03,6163.81,,
2004-05-04,6326.00,,
2004-05-05,5984.64,,
2004-05-06,6041.43,,
2004-05-07,6174.81,,
2004-05-10,5954.81,,
2004-05-11,6017.49,,
2004-05-12,6091.53,,
2004-05-13,6049.92,,
2004-05-14,5906.02,,
2004-05-17,5605.38,,
2004-05-18,5681.77,,
2004-05-19,5991.60,,
2004-05-20,5946.21,,
2004-05-21,6099.20,,
2004-05-24,6075.82,,
2004-05-25,6092.81,,
2004-05-26,6163.28,,
2004-05-27,6171.62,,
2004-05-28,6278.22,,
2004-05-31,6115.32,,
2004-06-01,6123.97,,
2004-06-02,6010.89,,
2004-06-03,5801.97,,
2004-06-04,5856.90,,
2004-06-07,6072.69,,
2004-06-08,6125.23,,
2004-06-09,6103.78,,
2004-06-10,6004.72,,
2004-06-11,5869.47,,
2004-06-14,5710.29,,
2004-06-15,5789.22,,
2004-06-16,5700.80,,
2004-06-17,5811.10,,
2004-06-18,5713.58,,
2004-06-21,5701.61,,
2004-06-23,5879.15,,
2004-06-24,5936.62,,
2004-06-25,5960.87,,
2004-06-28,5867.70,,
2004-06-29,5900.69,,
2004-06-30,6002.11,,
2004-07-01,6014.17,,
2004-07-02,5921.45,,
2004-07-05,5832.10,,
2004-07-06,5908.49,,
2004-07-07,5905.33,,
2004-07-08,5899.31,,
2004-07-09,5965.76,,
2004-07-12,5949.53,,
2004-07-13,5896.52,,
2004-07-14,5833.42,,
2004-07-15,5753.47,,
2004-07-16,5711.43,,
2004-07-19,5698.25,,
2004-07-20,5531.04,,
2004-07-21,5624.88,,
2004-07-22,5608.95,,
2004-07-23,5608.45,,
2004-07-26,5565.06,,
2004-07-27,5636.08,,
2004-07-28,5623.98,,
2004-07-29,5593.94,,
2004-07-30,5670.90,,
2004-08-02,5601.67,,
2004-08-03,5620.96,,
2004-08-04,5577.10,,
2004-08-05,5697.83,,
2004-08-06,5668.99,,
2004-08-09,5672.17,,
2004-08-10,5668.81,,
2004-08-11,5644.54,,
2004-08-12,5648.25,,
2004-08-13,5671.35,,
2004-08-16,5631.73,,
2004-08-17,5623.75,,
2004-08-18,5713.90,,
2004-08-19,5898.75,,
2004-08-20,5920.15,,
2004-08-23,5962.91,,
2004-08-26,6128.36,,
2004-08-27,6111.83,,
2004-08-30,6104.11,,
2004-08-31,6079.49,,
2004-09-01,6177.14,,
2004-09-02,6172.19,,
2004-09-03,6075.48,,
2004-09-06,6091.14,,
2004-09-07,6165.96,,
2004-09-08,6165.11,,
2004-09-09,6162.97,,
2004-09-10,6166.41,,
2004-09-13,6253.00,,
2004-09-14,6244.74,,
2004-09-15,6193.54,,
2004-09-16,6214.71,,
2004-09-17,6138.08,,
2004-09-20,6186.86,,
2004-09-21,6276.24,,
2004-09-22,6298.32,,
2004-09-23,6263.58,,
2004-09-24,6216.06,,
2004-09-27,6170.71,,
2004-09-29,6129.25,,
2004-09-30,6167.30,,
2004-10-01,6272.47,,
2004-10-04,6412.42,,
2004-10-05,6415.65,,
2004-10-06,6394.27,,
2004-10-07,6438.99,,
2004-10-08,6438.10,,
2004-10-11,6424.51,,
2004-10-12,6308.75,,
2004-10-13,6291.36,,
2004-10-14,6152.17,,
2004-10-15,6141.36,,
2004-10-18,6089.97,,
2004-10-19,6127.61,,
2004-10-20,6107.09,,
2004-10-21,6116.68,,
2004-10-22,6092.86,,
2004-10-26,5974.92,,
2004-10-27,5962.35,,
2004-10-28,6009.40,,
2004-10-29,6020.34,,
2004-11-01,5967.84,,
2004-11-02,6076.98,,
2004-11-03,6185.91,,
2004-11-04,6183.67,,
2004-11-05,6258.13,,
2004-11-08,6264.72,,
2004-11-09,6272.89,,
2004-11-10,6276.36,,
2004-11-11,6198.31,,
2004-11-12,6243.31,,
2004-11-15,6232.26,,
2004-11-16,6236.64,,
2004-11-17,6360.97,,
2004-11-18,6382.93,,
2004-11-19,6358.72,,
2004-11-22,6160.22,,
2004-11-23,6173.60,,
2004-11-24,6237.13,,
2004-11-25,6177.97,,
2004-11-26,6097.16,,
2004-11-29,6104.13,,
2004-11-30,6166.92,,
2004-12-01,6118.23,,
2004-12-02,6191.38,,
2004-12-03,6218.10,,
2004-12-06,6245.43,,
2004-12-07,6251.87,,
2004-12-08,6217.30,,
2004-12-09,6239.94,,
2004-12-10,6237.47,,
2004-12-13,6202.92,,
2004-12-14,6235.38,,
2004-12-15,6333.44,,
2004-12-16,6351.00,,
2004-12-17,6340.54,,
2004-12-20,6315.87,,
2004-12-21,6317.89,,
2004-12-22,6332.32,,
2004-12-23,6328.94,,
2004-12-24,6351.89,,
2004-12-27,6316.56,,
2004-12-28,6331.99,,
2004-12-29,6424.77,,
2004-12-30,6437.82,,
2004-12-31,6478.80,Y,7.59
2005-01-03,6482.42,,
2005-01-04,6395.19,,
2005-01-05,6319.12,,
2005-01-06,6312.52,,
2005-01-07,6263.85,,
2005-01-10,6271.09,,
2005-01-11,6305.71,,
