date,vt_return,vt050_return,notes
# 說明：
# date         = 年月，格式 YYYY-MM
# vt_return    = VT 月報酬率（%）
#                1998-01~2008-06：VTSMX 58% + VGTSX 42% 代理
#                2008-07 起：VT Adj Close 實際（Yahoo Finance）
# vt050_return = 台股加權指數（^TWII）月報酬率（%），不含息
# notes        = 備註
#
2018-04,0.421,-2.277,
2018-05,0.568,2.0368,
2018-06,-0.5953,-0.3499,
2018-07,2.8758,2.0356,
2018-08,0.8612,0.0582,
2018-09,0.0792,-0.5206,
2018-10,-7.8201,-10.9411,
2018-11,1.731,0.8763,
2018-12,-7.2367,-1.6244,
2019-01,7.9896,2.1059,
2019-02,2.8151,4.6003,
2019-03,1.0647,2.4244,
2019-04,3.4713,3.0701,
2019-05,-5.9702,-4.2784,
2019-06,6.3701,2.2131,
2019-07,0.0,0.8665,
2019-08,-2.1022,-1.901,
2019-09,2.2725,1.9931,
2019-10,2.7934,4.885,
2019-11,2.5614,1.1521,
2019-12,3.4527,4.4177,
2020-01,-1.5557,-4.1847,
2020-02,-7.2244,-1.7654,
2020-03,-14.7645,-14.0284,COVID-19 崩盤
2020-04,10.3663,13.2269,COVID-19 反彈
2020-05,5.2085,-0.4547,
2020-06,3.0712,6.2061,
2020-07,5.2941,8.9798,
2020-08,6.0055,-0.5792,
2020-09,-2.9315,-0.6023,
2020-10,-2.0461,0.2455,
2020-11,12.3686,9.3776,
2020-12,4.9316,7.3573,
2021-01,-0.2269,2.7543,
2021-02,2.674,5.3869,
2021-03,2.8509,2.992,
2021-04,4.132,6.9108,
2021-05,1.5793,-2.8362,
2021-06,1.182,4.0252,
2021-07,0.6177,-2.8614,
2021-08,2.2638,1.4082,
2021-09,-4.1078,-3.1762,
2021-10,5.1458,0.3108,
2021-11,-2.6151,2.5922,
2021-12,3.8059,4.5392,
2022-01,-4.5797,-2.9883,升息循環開始
2022-02,-2.7705,-0.1257,
2022-03,1.8855,0.2339,
2022-04,-8.0956,-6.2243,
2022-05,0.4942,1.2993,
2022-06,-8.1218,-11.7924,
2022-07,6.9838,1.1759,
2022-08,-4.0526,0.6358,
2022-09,-9.5289,-11.0686,
2022-10,6.3768,-3.537,
2022-11,8.2827,14.9022,
2022-12,-4.4374,-4.9858,
2023-01,7.6459,7.9752,
2023-02,-3.1796,1.563,
2023-03,2.8502,2.3496,
2023-04,1.4225,-1.8205,
2023-05,-1.2099,6.4174,
2023-06,5.8079,2.0302,
2023-07,3.7224,1.359,
2023-08,-2.8432,-2.9799,
2023-09,-4.2548,-1.6879,
2023-10,-2.9191,-2.1553,
2023-11,9.0095,8.9529,
2023-12,5.1575,2.8506,
2024-01,0.0,-0.2301,
2024-02,4.4907,6.0214,
2024-03,3.1891,7.0,
2024-04,-3.5837,0.5033,
2024-05,4.5992,3.8125,
2024-06,1.586,8.775,
2024-07,1.9799,-3.6162,
2024-08,2.3333,0.3096,
2024-09,2.1965,-0.1956,
2024-10,-2.1805,2.6812,
2024-11,4.1421,-2.4449,
2024-12,-2.9364,3.4704,
2025-01,3.0558,2.1285,
2025-02,-0.413,-2.0073,
2025-03,-3.5177,-10.2254,
2025-04,0.5606,-2.2269,
2025-05,5.8062,5.4968,
2025-06,4.6732,4.2568,
2025-07,1.0971,5.7805,
2025-08,2.9554,2.9333,
2025-09,3.3713,6.5507,
2025-10,2.0247,9.3445,
2025-11,0.2134,-2.1495,
2025-12,0.9219,4.84,
2026-01,3.1122,10.7036,
2026-02,1.6432,10.4502,
2026-03,-6.2196,-10.4237,
2026-04,9.3117,22.7079,
2026-05,1.9874,2.8109,
